shapeid,partid,x,y
"0","0",-81.8661298,41.397144
"0","0",-81.8661707,41.3971181
"0","0",-81.866208,41.3970946
"0","0",-81.8677432,41.3961149
"0","0",-81.868005,41.3959471
"0","0",-81.8680158,41.3959585
"0","0",-81.8686407,41.3965258
"0","0",-81.868855,41.3967069
"0","0",-81.8695437,41.3973396
"0","0",-81.8695609,41.3973518
"0","0",-81.8695792,41.3973626
"0","0",-81.8695983,41.3973717
"0","0",-81.869618,41.3973792
"0","0",-81.8696384,41.3973849
"0","0",-81.8696592,41.3973889
"0","0",-81.8696802,41.3973911
"0","0",-81.8697014,41.3973915
"0","0",-81.8697225,41.3973901
"0","0",-81.8697434,41.3973869
"0","0",-81.869764,41.3973819
"0","0",-81.869784,41.3973752
"0","0",-81.8698034,41.3973668
"0","0",-81.8698221,41.3973568
"0","0",-81.8698398,41.3973452
"0","0",-81.8698564,41.3973322
"0","0",-81.8847213867896,41.3876239795142
"0","0",-81.8852917999713,41.3882656943436
"0","0",-81.8699686,41.3980571
"0","0",-81.8699376,41.3980768
"0","0",-81.8693939,41.3984258
"0","0",-81.868912,41.3987351
"0","0",-81.8689047,41.3987472
"0","0",-81.8688985,41.3987599
"0","0",-81.8688936,41.398773
"0","0",-81.8688898,41.3987866
"0","0",-81.8688873,41.3988004
"0","0",-81.868886,41.3988144
"0","0",-81.868886,41.3988285
"0","0",-81.8688873,41.3988425
"0","0",-81.8688899,41.3988564
"0","0",-81.8688937,41.3988699
"0","0",-81.8688987,41.3988831
"0","0",-81.8689048,41.3988957
"0","0",-81.8689611,41.3989671
"0","0",-81.8690179,41.399038
"0","0",-81.8690754,41.3991084
"0","0",-81.8691333,41.3991784
"0","0",-81.8691812,41.3992495
"0","0",-81.869251,41.3993169
"0","0",-81.8693109,41.3993626
"0","0",-81.8693711,41.3994078
"0","0",-81.8694316,41.3994527
"0","0",-81.8694925,41.3994971
"0","0",-81.8695536,41.3995411
"0","0",-81.8696151,41.3995846
"0","0",-81.8696679,41.3996214
"0","0",-81.8697205,41.3996585
"0","0",-81.869773,41.3996958
"0","0",-81.8698252,41.3997335
"0","0",-81.8698773,41.3997713
"0","0",-81.8699292,41.3998095
"0","0",-81.8699461,41.3998199
"0","0",-81.8699639,41.399829
"0","0",-81.8699823,41.3998366
"0","0",-81.8700012,41.3998427
"0","0",-81.8700206,41.3998472
"0","0",-81.8700403,41.3998502
"0","0",-81.8700602,41.3998515
"0","0",-81.8700801,41.3998513
"0","0",-81.8700999,41.3998494
"0","0",-81.8701195,41.399846
"0","0",-81.8701388,41.399841
"0","0",-81.8701576,41.3998344
"0","0",-81.870263,41.3997973
"0","0",-81.8703683,41.39976
"0","0",-81.8704737,41.3997225
"0","0",-81.8705789,41.399685
"0","0",-81.8706842,41.3996473
"0","0",-81.8707893,41.3996096
"0","0",-81.8708295,41.399595
"0","0",-81.8708696,41.39958
"0","0",-81.8709095,41.3995647
"0","0",-81.8709493,41.3995491
"0","0",-81.870989,41.3995331
"0","0",-81.8710285,41.3995168
"0","0",-81.8711348,41.3994696
"0","0",-81.871241,41.3994221
"0","0",-81.871347,41.3993741
"0","0",-81.8714528,41.3993257
"0","0",-81.8715584,41.3992769
"0","0",-81.8716638,41.3992277
"0","0",-81.8717299,41.3991927
"0","0",-81.8717974,41.3991602
"0","0",-81.8718659,41.3991303
"0","0",-81.8719356,41.399103
"0","0",-81.8720063,41.3990783
"0","0",-81.8720778,41.3990564
"0","0",-81.8721493,41.3990409
"0","0",-81.8722217,41.3990304
"0","0",-81.8722946,41.3990249
"0","0",-81.8723678,41.3990244
"0","0",-81.8724408,41.399029
"0","0",-81.8725133,41.3990385
"0","0",-81.872586,41.3990588
"0","0",-81.8726573,41.3990835
"0","0",-81.872727,41.3991124
"0","0",-81.8727948,41.3991456
"0","0",-81.8728605,41.3991829
"0","0",-81.8729237,41.3992241
"0","0",-81.8733342,41.399581
"0","0",-81.8895075714854,41.3891865077393
"0","0",-81.8897598556183,41.3895228865831
"0","0",-81.8900121397512,41.3899433601379
"0","0",-81.8731593,41.4004805
"0","0",-81.8712214,41.4017017
"0","0",-81.8711282,41.4017604
"0","0",-81.8702043,41.4023495
"0","0",-81.869211,41.4029828
"0","0",-81.869027,41.403097
"0","0",-81.8667597,41.4045386
"0","0",-81.8645431,41.4059395
"0","0",-81.8629158,41.4069659
"0","0",-81.862767,41.4070597
"0","0",-81.8610812,41.4081258
"0","0",-81.861043,41.4081499
"0","0",-81.8594594,41.4091566
"0","0",-81.8583662,41.4098489
"0","0",-81.8583377,41.4098672
"0","0",-81.8583093,41.4098854
"0","0",-81.8582807,41.4099035
"0","0",-81.8582522,41.4099215
"0","0",-81.8582235,41.4099395
"0","0",-81.8581949,41.4099574
"0","0",-81.8580045,41.410078
"0","0",-81.8579284,41.4101204
"0","0",-81.8578538,41.4101654
"0","0",-81.8577809,41.410213
"0","0",-81.8577096,41.4102631
"0","0",-81.8576402,41.4103157
"0","0",-81.8575726,41.4103707
"0","0",-81.8574889,41.4104414
"0","0",-81.8574077,41.4105148
"0","0",-81.8573289,41.410591
"0","0",-81.8572528,41.4106697
"0","0",-81.8571793,41.410751
"0","0",-81.8571086,41.4108347
"0","0",-81.8571032,41.410843
"0","0",-81.8570977,41.4108513
"0","0",-81.8570923,41.4108597
"0","0",-81.8570308,41.4109495
"0","0",-81.8569745,41.4110427
"0","0",-81.8569234,41.4111388
"0","0",-81.856891,41.4112074
"0","0",-81.8568613,41.4112771
"0","0",-81.8568344,41.411348
"0","0",-81.8568288,41.4113636
"0","0",-81.8568234,41.4113792
"0","0",-81.8568182,41.4113949
"0","0",-81.8568131,41.4114106
"0","0",-81.8568081,41.4114264
"0","0",-81.8568032,41.4114422
"0","0",-81.8567945,41.4114731
"0","0",-81.8567886,41.4115046
"0","0",-81.8567856,41.4115366
"0","0",-81.8567857,41.4115687
"0","0",-81.8567887,41.4116007
"0","0",-81.8567946,41.4116323
"0","0",-81.8568034,41.4116631
"0","0",-81.856815,41.4116931
"0","0",-81.8568294,41.4117218
"0","0",-81.8568463,41.4117491
"0","0",-81.8568657,41.4117747
"0","0",-81.8568873,41.4117984
"0","0",-81.8573697,41.4122401
"0","0",-81.8573759,41.4122457
"0","0",-81.8573825,41.4122506
"0","0",-81.8573896,41.412255
"0","0",-81.8573971,41.4122586
"0","0",-81.8574048,41.4122616
"0","0",-81.8574128,41.4122639
"0","0",-81.8574209,41.4122654
"0","0",-81.8574292,41.4122662
"0","0",-81.8574375,41.4122662
"0","0",-81.8574458,41.4122655
"0","0",-81.8574539,41.412264
"0","0",-81.8574619,41.4122618
"0","0",-81.8574697,41.4122589
"0","0",-81.8574772,41.4122553
